"var","hr","pval","hr_ci95"
"age.cat>=65",1.4,"1.59e-01","0.9 to 2.1"
"gendermale",1,"9.34e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.85e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.61e-02","1.1 to 5.2"
"tnm_stageIV",4.3,"2.76e-03","1.7 to 11.2"
"IFNGR1_mut",NA," NA","NA to NA"
"age.cat>=65",1.3,"2.34e-01","0.8 to 2"
"gendermale",1,"8.89e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.93e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.43e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"6.00e-03","1.5 to 9.7"
"MUC17_cna",1.2,"2.58e-01","0.9 to 1.7"
"age.cat>=65",1.3,"2.67e-01","0.8 to 2"
"gendermale",1,"8.98e-01","0.6 to 1.5"
