"var","hr","pval","hr_ci95"
"tnm_stageIV",6.2,"4.49e-02","1 to 37"
"TAP1_cna",2.5,"8.60e-01","0 to 68099.2"
"age.cat>=65",16.1,"1.11e-04","3.9 to 66"
"gendermale",1.2,"8.16e-01","0.3 to 4"
"tnm_stageII",1.9,"5.49e-01","0.2 to 15"
"tnm_stageIII",1.8,"5.34e-01","0.3 to 11"
"tnm_stageIV",6.3,"4.23e-02","1.1 to 37.5"
"IFNGR1_cna",0,"7.06e-03","0 to 0.4"
"age.cat>=65",27.2,"1.02e-04","5.1 to 143.8"
"gendermale",1.2,"7.80e-01","0.3 to 4.2"
"tnm_stageII",1.2,"8.86e-01","0.1 to 10"
"tnm_stageIII",1.2,"8.43e-01","0.2 to 7.7"
"tnm_stageIV",5,"7.59e-02","0.8 to 30.2"
"MUC17_cna",2,"4.87e-01","0.3 to 14.5"
"age.cat>=65",16.6,"1.20e-04","4 to 69.2"
"gendermale",1.2,"7.56e-01","0.3 to 4.3"
"tnm_stageII",1.8,"5.82e-01","0.2 to 14.4"
"tnm_stageIII",1.6,"6.32e-01","0.2 to 10.3"
"tnm_stageIV",6.1,"4.86e-02","1 to 36.9"
"MET_cna",1.9,"5.41e-01","0.2 to 15.9"
"age.cat>=65",16.1,"1.18e-04","3.9 to 66.2"
"gendermale",1.2,"7.55e-01","0.3 to 4.3"
"tnm_stageII",1.9,"5.51e-01","0.2 to 14.9"
"tnm_stageIII",1.7,"5.88e-01","0.3 to 10.6"
"tnm_stageIV",6.4,"4.17e-02","1.1 to 38"
"IDO1_cna",0.4,"8.24e-01","0 to 3290.1"
"age.cat>=65",16.1,"1.10e-04","3.9 to 66"
"gendermale",1.2,"8.16e-01","0.3 to 4"
"tnm_stageII",1.9,"5.49e-01","0.2 to 15"
"tnm_stageIII",1.8,"5.35e-01","0.3 to 11"
"tnm_stageIV",6.3,"4.25e-02","1.1 to 37.4"
"JAK2_cna",1,"9.97e-01","0.2 to 5.3"
"age.cat>=65",16.2,"1.36e-04","3.9 to 67.8"
"gendermale",1.2,"8.14e-01","0.3 to 4"
"tnm_stageII",1.9,"5.42e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.34e-01","0.3 to 11"
"tnm_stageIV",6.4,"4.77e-02","1 to 39.6"
"CD274_cna",1,"9.96e-01","0.2 to 5.3"
"age.cat>=65",16.2,"1.35e-04","3.9 to 67.8"
"gendermale",1.2,"8.14e-01","0.3 to 4"
"tnm_stageII",1.9,"5.42e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.34e-01","0.3 to 11"
"tnm_stageIV",6.4,"4.77e-02","1 to 39.6"
"COL5A1_cna",1.1,"8.27e-01","0.3 to 3.8"
"age.cat>=65",16.8,"1.27e-04","4 to 71.1"
"gendermale",1.2,"8.09e-01","0.3 to 4.1"
"tnm_stageII",1.9,"5.53e-01","0.2 to 14.9"
"tnm_stageIII",1.8,"5.48e-01","0.3 to 10.9"
"tnm_stageIV",6.6,"3.94e-02","1.1 to 39.3"
"COL5A1_mut",0,"9.99e-01","0 to Inf"
"age.cat>=65",16,"1.19e-04","3.9 to 65.7"
"gendermale",1.2,"8.17e-01","0.3 to 4"
"tnm_stageII",1.9,"5.39e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.26e-01","0.3 to 11.2"
"tnm_stageIV",6.4,"4.14e-02","1.1 to 37.9"
"ARID5B_cna",0.5,"6.12e-01","0 to 6.5"
"age.cat>=65",16.8,"1.03e-04","4 to 70"
"gendermale",1.1,"8.31e-01","0.3 to 4"
