"var","hr","pval","hr_ci95"
"age.cat>=65",1.6,"8.83e-03","1.1 to 2.2"
"TMB.cathigh",0.6,"8.97e-04","0.4 to 0.8"
"PDL1.catmed",0.6,"2.72e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.76e-01","0.7 to 1.9"
"TP53_mut",1,"7.99e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.21e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"4.04e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.79e-01","0.7 to 1.9"
"TMEM88_cna",0.9,"2.73e-01","0.7 to 1.1"
"age.cat>=65",1.6,"9.90e-03","1.1 to 2.2"
"TMB.cathigh",0.6,"8.99e-04","0.4 to 0.8"
"PDL1.catmed",0.6,"2.84e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.80e-01","0.7 to 1.8"
"MYOCD_cna",0.7,"4.92e-02","0.6 to 1"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.30e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"2.04e-02","0.4 to 0.9"
"PDL1.cathigh",1.2,"4.82e-01","0.7 to 1.9"
"NCOR1_cna",0.7,"1.25e-02","0.5 to 0.9"
"age.cat>=65",1.5,"1.38e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.72e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"1.69e-02","0.4 to 0.9"
"PDL1.cathigh",1.2,"4.85e-01","0.7 to 1.9"
"NF1_cna",1,"8.60e-01","0.7 to 1.3"
"age.cat>=65",1.5,"1.31e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.20e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.35e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.57e-01","0.8 to 1.9"
"NF1_mut",1,"9.83e-01","0.6 to 1.7"
"age.cat>=65",1.5,"1.40e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.08e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.49e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.62e-01","0.8 to 1.9"
"ALPK2_cna",0.9,"6.01e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.62e-02","1.1 to 2.1"
"TMB.cathigh",0.6,"1.25e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.35e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.55e-01","0.8 to 1.9"
"LPAR2_cna",1,"6.27e-01","0.9 to 1.3"
"age.cat>=65",1.5,"1.21e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"9.72e-04","0.4 to 0.8"
"PDL1.catmed",0.7,"3.27e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.58e-01","0.8 to 1.9"
"TGFB1_cna",1.1,"1.73e-01","0.9 to 1.4"
"age.cat>=65",1.5,"1.49e-02","1.1 to 2.1"
"TMB.cathigh",0.6,"8.03e-04","0.4 to 0.8"
"PDL1.catmed",0.6,"3.03e-02","0.4 to 1"
"PDL1.cathigh",1.2,"5.32e-01","0.7 to 1.8"
"CIC_cna",1.1,"3.42e-01","0.9 to 1.3"
"age.cat>=65",1.5,"1.64e-02","1.1 to 2.1"
"TMB.cathigh",0.6,"1.07e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"2.96e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.62e-01","0.8 to 1.9"
"CIC_mut",1.1,"8.08e-01","0.4 to 3.1"
"age.cat>=65",1.5,"1.30e-02","1.1 to 2.2"
