"var","hr","pval","hr_ci95"
"CASP8_cna",1.1,"4.64e-01","0.8 to 1.5"
"age.cat>=65",1.8,"1.28e-04","1.3 to 2.5"
"gendermale",0.8,"1.17e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.09e-01","0.6 to 2.1"
"tnm_stageIII",2.7,"1.99e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.1"
"CTLA4_cna",1,"9.88e-01","0.8 to 1.3"
"age.cat>=65",1.8,"8.52e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.96e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.68e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"DNER_cna",1,"8.59e-01","0.7 to 1.3"
"age.cat>=65",1.8,"7.76e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.18e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.89e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"DNER_mut",0,"9.93e-01","0 to Inf"
"age.cat>=65",1.9,"6.47e-05","1.4 to 2.5"
"gendermale",0.8,"1.07e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.88e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.47e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6.1 to 13.3"
"PDCD1_cna",1,"9.49e-01","0.8 to 1.3"
"age.cat>=65",1.8,"7.94e-05","1.4 to 2.5"
"gendermale",0.8,"1.19e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.03e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.70e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"SLC22A14_cna",0.9,"2.99e-01","0.7 to 1.1"
"age.cat>=65",1.9,"6.65e-05","1.4 to 2.5"
"gendermale",0.8,"1.32e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.61e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"2.75e-06","1.8 to 3.9"
"tnm_stageIV",8.7,"0.00e+00","5.9 to 13"
"PIK3CA_cna",0.9,"3.34e-01","0.7 to 1.1"
"age.cat>=65",1.9,"5.40e-05","1.4 to 2.6"
"gendermale",0.8,"1.32e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.50e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.99e-06","1.8 to 4"
"tnm_stageIV",9.1,"0.00e+00","6.1 to 13.5"
"PIK3CA_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.8,"8.07e-05","1.4 to 2.5"
"gendermale",0.8,"1.17e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.95e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.51e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"CXCL9_cna",0.6,"1.17e-02","0.5 to 0.9"
"age.cat>=65",1.8,"1.47e-04","1.3 to 2.4"
"gendermale",0.8,"1.49e-01","0.6 to 1.1"
"tnm_stageII",1.1,"6.71e-01","0.6 to 2.1"
"tnm_stageIII",2.5,"1.22e-05","1.7 to 3.7"
"tnm_stageIV",8.1,"0.00e+00","5.4 to 12.2"
"CXCL10_cna",0.6,"1.17e-02","0.5 to 0.9"
"age.cat>=65",1.8,"1.47e-04","1.3 to 2.4"
"gendermale",0.8,"1.49e-01","0.6 to 1.1"
"tnm_stageII",1.1,"6.71e-01","0.6 to 2.1"
"tnm_stageIII",2.5,"1.22e-05","1.7 to 3.7"
"tnm_stageIV",8.1,"0.00e+00","5.4 to 12.2"
"CXCL11_cna",0.6,"1.17e-02","0.5 to 0.9"
"age.cat>=65",1.8,"1.47e-04","1.3 to 2.4"
"gendermale",0.8,"1.49e-01","0.6 to 1.1"
"tnm_stageII",1.1,"6.71e-01","0.6 to 2.1"
"tnm_stageIII",2.5,"1.22e-05","1.7 to 3.7"
"tnm_stageIV",8.1,"0.00e+00","5.4 to 12.2"
"TET2_cna",0.7,"2.54e-02","0.5 to 1"
"age.cat>=65",1.8,"1.02e-04","1.3 to 2.5"
"gendermale",0.8,"1.43e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.04e-01","0.6 to 2.1"
"tnm_stageIII",2.5,"1.36e-05","1.6 to 3.7"
"tnm_stageIV",8.2,"0.00e+00","5.5 to 12.3"
"TET2_mut",0.6,"3.61e-01","0.2 to 1.7"
"age.cat>=65",1.8,"1.10e-04","1.3 to 2.5"
"gendermale",0.8,"1.34e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.98e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.36e-06","1.8 to 4"
"tnm_stageIV",9.1,"0.00e+00","6.1 to 13.5"
"IL2_cna",0.7,"3.48e-02","0.5 to 1"
"age.cat>=65",1.8,"1.34e-04","1.3 to 2.5"
"gendermale",0.8,"1.43e-01","0.6 to 1.1"
"tnm_stageII",1.1,"6.90e-01","0.6 to 2.1"
"tnm_stageIII",2.5,"9.33e-06","1.7 to 3.8"
"tnm_stageIV",8.4,"0.00e+00","5.6 to 12.5"
"IRF1_cna",1,"6.93e-01","0.8 to 1.2"
"age.cat>=65",1.8,"8.41e-05","1.4 to 2.5"
"gendermale",0.8,"1.18e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.23e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.44e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"HAVCR2_cna",0.9,"4.46e-01","0.7 to 1.1"
"age.cat>=65",1.8,"7.99e-05","1.4 to 2.5"
"gendermale",0.8,"1.23e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.44e-01","0.6 to 2"
"tnm_stageIII",2.6,"2.49e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6 to 13.3"
"TAP1_cna",1.2,"3.00e-01","0.9 to 1.6"
"age.cat>=65",1.8,"9.62e-05","1.4 to 2.5"
"gendermale",0.8,"1.08e-01","0.6 to 1.1"
"tnm_stageII",1.2,"6.58e-01","0.6 to 2.2"
"tnm_stageIII",2.7,"1.80e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.3"
"IFNGR1_cna",1.5,"1.07e-02","1.1 to 2"
"age.cat>=65",1.8,"1.30e-04","1.3 to 2.5"
"gendermale",0.8,"8.81e-02","0.6 to 1"
"tnm_stageII",1.2,"4.93e-01","0.7 to 2.4"
"tnm_stageIII",2.6,"2.44e-06","1.8 to 4"
"tnm_stageIV",9.2,"0.00e+00","6.2 to 13.7"
"MUC17_cna",0.8,"2.25e-01","0.6 to 1.1"
"age.cat>=65",1.9,"5.50e-05","1.4 to 2.5"
"gendermale",0.8,"1.84e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.94e-01","0.6 to 2"
"tnm_stageIII",2.6,"3.48e-06","1.7 to 3.9"
"tnm_stageIV",9.1,"0.00e+00","6.1 to 13.5"
"MUC17_mut",0.8,"4.39e-01","0.5 to 1.4"
"age.cat>=65",1.8,"9.92e-05","1.3 to 2.5"
"gendermale",0.8,"1.28e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.75e-01","0.6 to 2"
"tnm_stageIII",2.7,"2.24e-06","1.8 to 4"
"tnm_stageIV",9,"0.00e+00","6.1 to 13.4"
"MET_cna",0.9,"3.13e-01","0.6 to 1.2"
"age.cat>=65",1.9,"5.73e-05","1.4 to 2.5"
"gendermale",0.8,"1.60e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.01e-01","0.6 to 2"
"tnm_stageIII",2.6,"3.23e-06","1.7 to 3.9"
"tnm_stageIV",9.1,"0.00e+00","6.1 to 13.5"
"IDO1_cna",1.1,"6.10e-01","0.8 to 1.4"
"age.cat>=65",1.8,"7.67e-05","1.4 to 2.5"
"gendermale",0.8,"1.20e-01","0.6 to 1.1"
"tnm_stageII",1.1,"8.23e-01","0.6 to 2"
"tnm_stageIII",2.7,"2.13e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"IDO1_mut",3,"2.77e-01","0.4 to 22.1"
"age.cat>=65",1.8,"1.01e-04","1.3 to 2.5"
"gendermale",0.8,"1.08e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.93e-01","0.6 to 2"
"tnm_stageIII",2.6,"3.43e-06","1.7 to 3.9"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"JAK2_cna",0.8,"7.60e-02","0.6 to 1"
"age.cat>=65",1.8,"1.89e-04","1.3 to 2.4"
"gendermale",0.7,"6.56e-02","0.5 to 1"
"tnm_stageII",1.1,"7.54e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"4.07e-06","1.7 to 3.9"
"tnm_stageIV",8.3,"0.00e+00","5.5 to 12.4"
"JAK2_mut",0,"9.92e-01","0 to Inf"
"age.cat>=65",1.8,"9.71e-05","1.4 to 2.5"
"gendermale",0.8,"1.27e-01","0.6 to 1.1"
"tnm_stageII",1.1,"7.95e-01","0.6 to 2"
"tnm_stageIII",2.7,"1.87e-06","1.8 to 4"
"tnm_stageIV",8.9,"0.00e+00","6 to 13.2"
"CD274_cna",0.7,"4.63e-02","0.6 to 1"
"age.cat>=65",1.8,"2.35e-04","1.3 to 2.4"
"gendermale",0.7,"5.88e-02","0.5 to 1"
"tnm_stageII",1.1,"7.58e-01","0.6 to 2.1"
"tnm_stageIII",2.6,"5.16e-06","1.7 to 3.9"
"tnm_stageIV",8.1,"0.00e+00","5.4 to 12.1"
"COL5A1_cna",0.9,"3.06e-01","0.7 to 1.1"
"age.cat>=65",1.8,"1.07e-04","1.3 to 2.5"
"gendermale",0.8,"9.36e-02","0.6 to 1"
"tnm_stageII",1.1,"7.85e-01","0.6 to 2"
