"var","hr","pval","hr_ci95"
"tnm_stageI",0.8,"6.08e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.81e-01","0.1 to 1.6"
"tnm_stageII",1,"9.83e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.28e-01","0.5 to 3.8"
"tnm_stageIV",2.3,"1.81e-01","0.7 to 7.7"
"DNER_cna",0.9,"4.84e-01","0.7 to 1.2"
"age.cat>=65",1.6,"5.80e-03","1.2 to 2.3"
"gendermale",1.2,"3.14e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.00e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.80e-01","0.1 to 1.6"
"tnm_stageII",1,"9.99e-01","0.4 to 2.8"
"tnm_stageIII",1.4,"5.33e-01","0.5 to 3.8"
"tnm_stageIV",2.3,"1.88e-01","0.7 to 7.6"
"DNER_mut",0.9,"6.76e-01","0.5 to 1.6"
"age.cat>=65",1.6,"6.09e-03","1.1 to 2.3"
"gendermale",1.2,"2.97e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.22e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.81e-01","0.1 to 1.6"
"tnm_stageII",1,"9.74e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.18e-01","0.5 to 3.9"
"tnm_stageIV",2.3,"1.74e-01","0.7 to 7.8"
