"var","hr","pval","hr_ci95"
"gendermale",0.6,"1.85e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.92e-01","0.6 to 12.7"
"tnm_stageIII",4.6,"4.70e-02","1 to 20.6"
"tnm_stageIV",12.1,"1.06e-03","2.7 to 53.8"
"SLC22A14_cna",0.5,"3.43e-02","0.2 to 0.9"
"age.cat>=65",2,"1.21e-01","0.8 to 4.5"
"gendermale",0.7,"2.47e-01","0.3 to 1.3"
"tnm_stageII",2.5,"2.41e-01","0.5 to 11.4"
"tnm_stageIII",4.4,"5.49e-02","1 to 19.6"
"tnm_stageIV",10.2,"2.31e-03","2.3 to 45.3"
"PIK3CA_cna",1.1,"8.92e-01","0.5 to 2.3"
"age.cat>=65",1.7,"2.07e-01","0.7 to 4"
"gendermale",0.7,"2.12e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"5.10e-02","1 to 20"
"tnm_stageIV",11.7,"1.21e-03","2.6 to 51.8"
"CXCL9_cna",1.3,"3.77e-01","0.7 to 2.3"
"age.cat>=65",1.6,"2.45e-01","0.7 to 3.8"
"gendermale",0.6,"1.92e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.91e-01","0.6 to 12.7"
"tnm_stageIII",4.5,"5.01e-02","1 to 20.1"
"tnm_stageIV",12.7,"9.09e-04","2.8 to 56.8"
"CXCL9_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",1.7,"2.11e-01","0.7 to 3.9"
"gendermale",0.7,"2.15e-01","0.3 to 1.3"
"tnm_stageII",2.6,"2.11e-01","0.6 to 12.1"
"tnm_stageIII",4.4,"5.14e-02","1 to 19.9"
"tnm_stageIV",11.5,"1.28e-03","2.6 to 51.2"
"CXCL10_cna",1.3,"3.77e-01","0.7 to 2.3"
"age.cat>=65",1.6,"2.45e-01","0.7 to 3.8"
"gendermale",0.6,"1.92e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.91e-01","0.6 to 12.7"
"tnm_stageIII",4.5,"5.01e-02","1 to 20.1"
"tnm_stageIV",12.7,"9.09e-04","2.8 to 56.8"
"CXCL11_cna",1.3,"3.77e-01","0.7 to 2.3"
"age.cat>=65",1.6,"2.45e-01","0.7 to 3.8"
"gendermale",0.6,"1.92e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.91e-01","0.6 to 12.7"
"tnm_stageIII",4.5,"5.01e-02","1 to 20.1"
"tnm_stageIV",12.7,"9.09e-04","2.8 to 56.8"
"TET2_cna",1.3,"4.10e-01","0.7 to 2.3"
"age.cat>=65",1.6,"2.67e-01","0.7 to 3.7"
"gendermale",0.7,"2.05e-01","0.3 to 1.3"
"tnm_stageII",2.7,"1.98e-01","0.6 to 12.5"
"tnm_stageIII",4.5,"4.91e-02","1 to 20.2"
"tnm_stageIV",12.3,"1.00e-03","2.8 to 54.6"
"TET2_mut",1.8,"2.97e-02","1.1 to 3.1"
"age.cat>=65",1.7,"2.24e-01","0.7 to 3.9"
"gendermale",0.6,"1.70e-01","0.3 to 1.2"
"tnm_stageII",2.5,"2.36e-01","0.5 to 11.7"
"tnm_stageIII",4.6,"4.64e-02","1 to 20.6"
"tnm_stageIV",12.1,"1.04e-03","2.7 to 53.8"
"IL2_cna",1,"9.04e-01","0.6 to 1.8"
"age.cat>=65",1.7,"2.17e-01","0.7 to 3.9"
"gendermale",0.7,"2.11e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.04e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"4.95e-02","1 to 20.1"
"tnm_stageIV",11.8,"1.21e-03","2.6 to 52.4"
"IRF1_cna",1.1,"8.26e-01","0.6 to 1.9"
"age.cat>=65",1.7,"2.12e-01","0.7 to 3.9"
"gendermale",0.7,"2.09e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.06e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"5.05e-02","1 to 20"
"tnm_stageIV",11.7,"1.20e-03","2.6 to 51.9"
"HAVCR2_cna",1,"9.75e-01","0.6 to 1.8"
"age.cat>=65",1.7,"2.09e-01","0.7 to 3.9"
"gendermale",0.7,"2.13e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.05e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"4.96e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.22e-03","2.6 to 51.8"
"HAVCR2_mut",0,"9.98e-01","0 to Inf"
